Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Description,Treatment
Pulsatile Tinnitus,rhythmic tinnitus,heartbeat sounds,whooshing,objective tinnitus,Tinnitus synchronized with heartbeat,Treat underlying vascular cause sound therapy
Presbyopia,difficulty reading,eye strain,headaches,need for reading glasses,Age-related decline in near vision,Reading glasses bifocals progressive lenses surgery
Myopia,distant vision problems,squinting,eye strain,headaches,Nearsightedness difficulty seeing far objects,Corrective lenses contact lenses refractive surgery
Hyperopia,near vision problems,eye strain,headaches,difficulty focusing,Farsightedness difficulty seeing near objects,Corrective lenses contact lenses refractive surgery
Astigmatism,blurred vision,eye strain,headaches,distorted vision,Irregular corneal shape causing vision problems,Corrective lenses contact lenses refractive surgery
Amblyopia,poor vision in one eye,depth perception problems,eye turning,head tilting,Lazy eye with reduced vision development,Eye patching vision therapy corrective lenses
Strabismus,crossed eyes,double vision,poor depth perception,head tilting,Misalignment of eyes,Corrective lenses eye exercises surgery
Ptosis,drooping eyelid,reduced vision,eye fatigue,asymmetrical appearance,Drooping of upper eyelid,Surgery to lift eyelid corrective lenses
Chalazion,eyelid bump,swelling,tenderness,vision problems if large,Blocked oil gland in eyelid,Warm compresses antibiotics surgical removal
Stye,painful eyelid bump,redness,swelling,tearing,Infected eyelash follicle,Warm compresses antibiotics drainage if needed
Blepharitis,eyelid inflammation,itching,crusting,burning,Inflammation of eyelid margins,Eyelid hygiene antibiotics warm compresses
Dry Eye,eye dryness,burning,itching,light sensitivity,Insufficient tear production or quality,Artificial tears lifestyle changes medications
Allergic Conjunctivitis,itchy eyes,redness,tearing,swelling,Allergic reaction affecting eyes,Antihistamines avoid allergens cool compresses
Viral Conjunctivitis,red eyes,watery discharge,burning,light sensitivity,Viral infection of eye membrane,Supportive care artificial tears avoid spreading
Bacterial Conjunctivitis,red eyes,yellow discharge,crusting,burning,Bacterial infection of eye membrane,Antibiotic drops warm compresses good hygiene
Keratitis,eye pain,light sensitivity,tearing,blurred vision,Inflammation of cornea,Antibiotics antifungals artificial tears
Corneal Abrasion,eye pain,tearing,light sensitivity,foreign body sensation,Scratch on cornea surface,Antibiotic drops pain relief eye protection
Corneal Ulcer,severe eye pain,light sensitivity,discharge,vision loss,Open sore on cornea,Emergency treatment antibiotics hospitalization
Iritis,eye pain,light sensitivity,blurred vision,red eye,Inflammation of colored part of eye,Steroid drops dilating drops treat underlying cause
Scleritis,severe eye pain,light sensitivity,red eye,vision problems,Inflammation of white part of eye,Anti-inflammatory medications immunosuppressants
Retinal Detachment,sudden vision loss,flashing lights,floaters,curtain effect,Separation of retina from underlying tissue,Emergency surgery to reattach retina
Macular Hole,central vision loss,distorted vision,difficulty reading,blind spot,Hole in center of retina,Vitrectomy surgery gas bubble injection
Diabetic Retinopathy,blurred vision,floaters,dark spots,vision loss,Diabetes-related damage to retinal blood vessels,Blood sugar control laser treatment injections
Hypertensive Retinopathy,vision changes,headaches,double vision,vision loss,High blood pressure damage to retinal vessels,Blood pressure control medications lifestyle changes
Retinal Vein Occlusion,sudden vision loss,distorted vision,dark spots,swelling,Blockage of retinal vein,Anti-VEGF injections laser treatment steroids
Retinal Artery Occlusion,sudden painless vision loss,cherry red spot,pale retina,severe visual impairment,Blockage of retinal artery,Emergency treatment hyperbaric oxygen
Vitreous Hemorrhage,sudden vision loss,floaters,red haze,light sensitivity,Bleeding into vitreous cavity,Surgery laser treatment treat underlying cause
Retinitis Pigmentosa,night blindness,tunnel vision,light sensitivity,progressive vision loss,Inherited disorder causing retinal degeneration,Vitamin A low vision aids genetic counseling
Leber Congenital Amaurosis,severe vision loss from birth,nystagmus,light sensitivity,developmental delays,Inherited retinal dystrophy,Gene therapy low vision aids supportive care
Stargardt Disease,central vision loss,difficulty reading,color vision problems,progressive vision loss,Inherited macular dystrophy,Low vision aids lifestyle modifications genetic counseling
Best Disease,central vision problems,metamorphopsia,reading difficulties,variable progression,Inherited macular dystrophy,Monitoring low vision aids lifestyle modifications
Cone-Rod Dystrophy,color vision problems,light sensitivity,central vision loss,progressive symptoms,Inherited retinal degeneration,Tinted lenses low vision aids genetic counseling
Rod-Cone Dystrophy,night blindness,peripheral vision loss,light sensitivity,progressive symptoms,Inherited retinal degeneration affecting rods first,Vitamin A low vision aids mobility training
Usher Syndrome,hearing loss,night blindness,balance problems,progressive vision loss,Inherited disorder affecting hearing and vision,Hearing aids cochlear implants low vision aids
Bardet-Biedl Syndrome,obesity,extra fingers,kidney problems,retinal dystrophy,Genetic syndrome with multiple organ involvement,Multidisciplinary care low vision aids genetic counseling
Alstrom Syndrome,obesity,hearing loss,diabetes,retinal dystrophy,Rare genetic syndrome with multiple system involvement,Multidisciplinary care supportive treatment genetic counseling
